#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000000003,TSPAN6,-0.184675,1,-0.268532,6098.94,5047.02
ENSG00000000419,DPM1,0,1,0.0320405,5642.77,5751.53
ENSG00000000457,SCYL3,-0.141166,1,-0.334895,1164.64,919.775
ENSG00000000460,C1orf112,0.0106912,1,0.142587,2109.25,2320.96
ENSG00000000938,#N/A,0,1,1.0053,13.2012,27.3975
ENSG00000000971,CFH,-0.0273491,1,-0.118076,4896.17,4497.11
ENSG00000001036,FUCA2,0.0790083,1,0.158777,5721.98,6367.97
ENSG00000001084,GCLC,-0.387198,1,-0.494293,4112.9,2910.01
ENSG00000001167,NFYA,-0.0324847,1,-0.145503,3185.88,2870.87
ENSG00000001460,STPG1,-0.0827775,1,-0.335329,682.061,538.166
ENSG00000001461,NIPAL3,-0.245883,1,-0.348046,4243.44,3322.93
ENSG00000001497,LAS1L,0.0551776,1,0.16774,2866.12,3209.43
ENSG00000001561,ENPP4,-0.0800398,1,-0.280604,1061.96,870.85
ENSG00000001617,#N/A,0,1,0.420333,0,0
ENSG00000001629,ANKIB1,0.0669528,1,0.127187,10153.2,11054.9
ENSG00000001630,CYP51A1,-0.622311,1,-0.705427,7536.4,4606.7
ENSG00000001631,KRIT1,0,1,-0.0302235,4039.56,3943.29
ENSG00000002016,RAD52,-0.182243,1,-0.427664,751,555.779
ENSG00000002330,BAD,0,1,0.119994,2090.19,2264.21
ENSG00000002549,LAP3,0.473812,1,0.556909,4563.21,6692.83
ENSG00000002586,CD99,0.296817,1,0.374801,5522.49,7139.02
ENSG00000002587,HS3ST1,-0.121287,1,-0.222492,4102.63,3504.93
ENSG00000002726,AOC1,0.0128954,1,0.312152,384.301,475.543
ENSG00000002745,#N/A,0.157297,1,0.179325,17.6016,19.5697
ENSG00000002746,#N/A,0,1,1.0053,4.40039,9.78484
ENSG00000002822,MAD1L1,0,1,-0.0890097,1729.35,1620.37
ENSG00000002834,LASP1,0.0321126,1,0.071743,23949.9,25094.2
ENSG00000002919,SNX11,0,1,0.160145,1038.49,1156.57
ENSG00000003056,M6PR,0.251733,1,0.320672,7206.38,8972.69
ENSG00000003096,KLHL13,0,1,0.00529566,280.158,279.846
ENSG00000003137,CYP26B1,0,1,-0.120742,1518.14,1391.4
ENSG00000003147,ICA1,-0.0499084,1,-0.221751,1415.46,1209.41
ENSG00000003249,DBNDD1,-0.150803,1,-0.485274,410.703,291.588
ENSG00000003393,ALS2,-0.0402227,1,-0.168,2512.62,2228.99
ENSG00000003400,CASP10,-0.0359269,1,-0.2439,972.487,818.012
ENSG00000003402,CFLAR,0,1,0.0326216,2836.79,2892.4
ENSG00000003436,TFPI,0.573511,1,0.704953,1733.75,2818.03
ENSG00000003509,NDUFAF7,0,1,-0.0857285,990.088,929.559
ENSG00000003756,#N/A,0,1,3.22769,0,11.7418
ENSG00000003987,MTMR7,0,1,-0.0483423,199.484,191.783
ENSG00000003989,SLC7A2,0,1,-0.127982,1965.51,1792.58
ENSG00000004059,ARF5,0.143564,1,0.254577,2849.99,3389.47
ENSG00000004139,SARM1,0,1,0.103567,407.77,436.404
ENSG00000004142,POLDIP2,0.145129,1,0.231784,4715.75,5520.6
ENSG00000004399,PLXND1,0.229761,1,0.420333,909.414,1213.32
ENSG00000004455,AK2,0,1,0.00741441,10311.6,10332.8
ENSG00000004468,#N/A,0,1,-2.16463,7.33399,0
ENSG00000004478,FKBP4,-0.0604296,1,-0.129972,8384.21,7638.04
ENSG00000004487,KDM1A,0.195924,1,0.241178,17218.7,20289.8
ENSG00000004534,RBM6,0,1,0.0157123,268.424,270.061
ENSG00000004660,CAMKK1,0,1,0.0761791,406.303,426.619
ENSG00000004700,RECQL,0.0614779,1,0.147297,4966.58,5483.42
ENSG00000004766,VPS50,0,1,-0.0544179,2723.84,2614.51
ENSG00000004776,#N/A,0,1,0.420333,23.4688,31.3115
ENSG00000004777,ARHGAP33,0.143698,1,0.389472,552.983,722.121
ENSG00000004779,NDUFAB1,-0.0401941,1,-0.158165,2938,2624.29
ENSG00000004799,PDK4,0,1,-0.00945092,431.238,426.619
ENSG00000004838,#N/A,0,1,0.420333,0,0
ENSG00000004848,#N/A,0,1,-1.16463,2.93359,0
ENSG00000004864,SLC25A13,0.0411238,1,0.158908,2627.03,2923.71
ENSG00000004866,ST7,0.0747433,1,0.248152,1171.97,1387.49
ENSG00000004897,CDC27,-0.137297,1,-0.2058,8913.73,7704.58
ENSG00000004939,#N/A,0,1,0.420333,0,0
ENSG00000004948,#N/A,0,1,1.1573,2.93359,7.82787
ENSG00000004961,HCCS,0,1,-0.137007,1971.38,1786.71
ENSG00000004975,DVL2,0,1,0.0841965,1981.64,2093.95
ENSG00000005001,PRSS22,0,1,0.0176891,1245.31,1256.37
ENSG00000005007,UPF1,0,1,-0.0191124,8042.45,7912.02
ENSG00000005020,SKAP2,-0.475794,1,-0.565446,6069.61,4088.1
ENSG00000005022,SLC25A5,0,1,-0.0146759,18491.9,18248.7
ENSG00000005059,MCUB,0.0592276,1,0.26465,830.207,994.139
ENSG00000005073,#N/A,0,1,-2.16463,7.33399,0
ENSG00000005075,POLR2J,0.111267,1,0.2507,1810.03,2146.79
ENSG00000005100,DHX33,0,1,-0.0430586,3677.26,3557.77
ENSG00000005102,#N/A,0,1,0.420333,0,0
ENSG00000005108,THSD7A,-0.567192,1,-1.08868,215.619,99.8053
ENSG00000005156,LIG3,0,1,-0.0424968,2414.35,2336.62
ENSG00000005175,RPAP3,-0.101956,1,-0.195362,4765.62,4148.77
ENSG00000005187,#N/A,0,1,0.922834,16.1348,31.3115
ENSG00000005189,REXO5,0,1,-0.130031,451.774,410.963
ENSG00000005194,CIAPIN1,-0.0923727,1,-0.199409,3631.79,3152.67
ENSG00000005206,SPPL2B,0,1,0.123568,1394.92,1514.69
ENSG00000005238,FAM214B,0,1,0.171214,331.496,371.824
ENSG00000005243,#N/A,0,1,-1.57967,4.40039,0
ENSG00000005249,PRKAR2B,0,1,0.53769,85.0742,123.289
ENSG00000005302,MSL3,0,1,0.0909795,2355.68,2501
ENSG00000005339,CREBBP,0.250885,1,0.35159,3339.9,4248.58
ENSG00000005379,#N/A,0,1,0.420333,0,0
ENSG00000005421,#N/A,0,1,0.420333,0,0
ENSG00000005436,GCFC2,0,1,0.16024,861.01,958.914
ENSG00000005448,WDR54,0,1,-0.0358257,2016.85,1960.88
ENSG00000005469,CROT,-0.47395,1,-0.528876,15963.2,11029.5
ENSG00000005471,#N/A,0,1,-0.66713,23.4688,13.6988
ENSG00000005483,KMT2E,-0.0779153,1,-0.188058,3413.24,2986.33
ENSG00000005486,RHBDD2,0,1,0.0366716,1933.24,1976.54
ENSG00000005513,#N/A,0,1,0.502795,23.4688,33.2684
ENSG00000005700,IBTK,0,1,-0.0629106,5229.13,4990.27
ENSG00000005801,ZNF195,0,1,-0.147993,1705.89,1534.26
ENSG00000005810,MYCBP2,-0.0427603,1,-0.11111,8614.5,7951.16
ENSG00000005812,FBXL3,0,1,-0.0575452,3130.15,2998.07
ENSG00000005844,#N/A,0,1,-0.749592,11.7344,5.8709
ENSG00000005882,PDK2,0.0504031,1,0.255121,839.008,998.053
ENSG00000005884,ITGA3,-0.00874548,1,-0.035842,53306.3,51840.1
ENSG00000005889,ZFX,0,1,0.0311112,3925.15,3998.08
ENSG00000005893,LAMP2,0.0238891,1,0.0922396,7995.51,8497.15
ENSG00000005961,#N/A,0,1,0.782903,19.0684,33.2684
ENSG00000005981,#N/A,0,1,1.64273,2.93359,11.7418
ENSG00000006007,GDE1,-0.00932124,1,-0.0728184,9831.94,9319.08
ENSG00000006015,REX1BD,0,1,-0.058536,642.457,614.488
ENSG00000006016,CRLF1,0.515116,1,0.849891,252.289,454.016
ENSG00000006025,OSBPL7,0,1,0.0324473,564.717,575.348
ENSG00000006042,TMEM98,0.0689285,1,0.283108,758.334,919.775
ENSG00000006047,#N/A,0,1,-0.316632,20.5352,15.6557
ENSG00000006059,#N/A,0,1,-0.802059,29.3359,15.6557
ENSG00000006062,MAP3K14,0,1,-0.14328,638.057,575.348
ENSG00000006071,#N/A,0,1,0.835371,7.33399,13.6988
ENSG00000006118,TMEM132A,0.246626,1,0.368279,2275,2927.62
ENSG00000006125,AP2B1,0,1,-0.0174034,15972,15732.1
ENSG00000006194,ZNF263,0,1,0.119164,1719.09,1861.08
ENSG00000006210,#N/A,0,1,0.420333,2.93359,3.91393
ENSG00000006282,SPATA20,0,1,-0.0932636,3093.48,2890.44
ENSG00000006283,#N/A,0.0984037,1,0.130827,14.668,15.6557
ENSG00000006327,TNFRSF12A,0.179954,1,0.264177,4931.37,5904.17
ENSG00000006377,#N/A,0,1,0.420333,0,0
ENSG00000006432,MAP3K9,0.261294,1,0.385687,2162.06,2816.08
ENSG00000006451,RALA,0.0834084,1,0.164569,5515.16,6162.49
ENSG00000006453,BAIAP2L1,0,1,-0.0267435,5029.65,4921.77
ENSG00000006459,KDM7A,-0.222885,1,-0.559629,418.037,281.803
ENSG00000006468,#N/A,0.0418202,1,0.0724099,19.0684,19.5697
ENSG00000006530,AGK,0,1,-0.0200832,1933.24,1900.22
ENSG00000006534,ALDH3B1,0.0839909,1,0.361439,438.572,561.65
ENSG00000006555,TTC22,0,1,0.0743373,1394.92,1463.81
ENSG00000006576,PHTF2,-0.0525864,1,-0.151111,4205.31,3774.99
ENSG00000006606,#N/A,0,1,0.420333,0,0
ENSG00000006607,FARP2,-0.373756,1,-0.513826,2417.28,1686.91
ENSG00000006611,#N/A,0,1,2.0053,0,3.91393
ENSG00000006625,GGCT,0,1,0.00277567,5601.7,5594.97
ENSG00000006634,DBF4,0,1,0.0709204,2583.03,2704.53
ENSG00000006638,#N/A,0,1,0.420333,0,0
ENSG00000006652,IFRD1,0.110605,1,0.26317,1504.93,1800.41
ENSG00000006695,COX10,-0.0129295,1,-0.202855,1148.5,994.139
ENSG00000006704,GTF2IRD1,0.227089,1,0.38302,1377.32,1790.63
ENSG00000006712,PAF1,0,1,0.00994203,7273.85,7301.44
ENSG00000006715,VPS41,-0.0118052,1,-0.1069,4435.6,4105.72
ENSG00000006740,ARHGAP44,0,1,0.0676327,1127.97,1178.09
ENSG00000006744,ELAC2,-0.0535796,1,-0.125975,7722.69,7054.87
ENSG00000006747,#N/A,0,1,0.590258,22.002,33.2684
ENSG00000006756,ARSD,0.218816,1,0.340241,2307.27,2911.97
ENSG00000006757,PNPLA4,0,1,-0.106151,814.073,753.432
ENSG00000006788,#N/A,0,1,0.420333,0,0
ENSG00000006831,ADIPOR2,0.0721771,1,0.156636,5108.86,5677.16
ENSG00000006837,CDKL3,0,1,-0.134256,67.4727,60.666
ENSG00000007001,#N/A,0,1,0.420333,0,0
ENSG00000007047,MARK4,0.185188,1,0.296883,2770.78,3393.38
ENSG00000007062,#N/A,0,1,2.0053,0,3.91393
ENSG00000007080,CCDC124,0,1,0.0137672,1658.95,1669.29
ENSG00000007129,#N/A,0,1,0.420333,0,0
ENSG00000007168,PAFAH1B1,0.00947614,1,0.0728407,9372.84,9827.89
ENSG00000007171,#N/A,0,1,1.66826,10.2676,35.2254
ENSG00000007174,#N/A,0,1,0.835371,2.93359,5.8709
ENSG00000007202,KIAA0100,-0.0874682,1,-0.134555,18346.7,16661.6
ENSG00000007237,GAS7,0,1,-0.518266,66.0059,45.0102
ENSG00000007255,TRAPPC6A,0.125232,1,0.426116,363.766,487.285
ENSG00000007264,#N/A,0,1,0.420333,0,0
ENSG00000007306,#N/A,0,1,-0.0821672,23.4688,21.5266
ENSG00000007312,#N/A,0,1,0.420333,0,0
ENSG00000007341,ST7L,0,1,-0.0859796,1202.77,1129.17
ENSG00000007350,#N/A,0,1,0.420333,0,0
ENSG00000007372,#N/A,0,1,-1.57967,4.40039,0
ENSG00000007376,RPUSD1,0.308117,1,0.476845,1136.77,1577.32
ENSG00000007384,RHBDF1,-0.0646249,1,-0.203262,2163.53,1872.82
ENSG00000007392,LUC7L,-0.0064975,1,-0.139483,2292.6,2074.39
ENSG00000007402,#N/A,0,1,0.420333,0,0
ENSG00000007516,BAIAP3,0,1,-0.113099,159.881,146.773
ENSG00000007520,TSR3,0.00185895,1,0.159015,1477.06,1643.85
ENSG00000007541,PIGQ,0.0518608,1,0.16608,2785.45,3115.49
ENSG00000007545,CRAMP1,0,1,0.00341837,3382.43,3379.68
ENSG00000007866,TEAD3,0.134406,1,0.255596,2390.88,2845.43
ENSG00000007908,#N/A,0,1,2.0053,0,3.91393
ENSG00000007923,DNAJC11,-0.102201,1,-0.205534,3907.55,3377.73
ENSG00000007933,#N/A,0,1,0.00529566,10.2676,9.78484
ENSG00000007944,MYLIP,-0.267089,1,-0.458632,1255.58,909.99
ENSG00000007952,#N/A,0.0724085,1,0.0984051,20.5352,21.5266
ENSG00000007968,E2F2,0,1,0.195109,871.278,994.139
ENSG00000008018,PSMB1,0.0883949,1,0.153114,8708.38,9653.72
ENSG00000008056,#N/A,0,1,0.420333,0,0
ENSG00000008083,JARID2,0.0265136,1,0.223409,918.215,1068.5
ENSG00000008086,CDKL5,-0.147952,1,-0.351592,1060.49,827.797
ENSG00000008118,#N/A,0,1,1.0053,7.33399,15.6557
ENSG00000008128,CDK11A,0,1,-0.0558774,2424.62,2324.88
ENSG00000008130,NADK,0.0249969,1,0.124009,3766.74,4092.02
ENSG00000008226,#N/A,0.0984037,1,0.115479,29.3359,31.3115
ENSG00000008256,CYTH3,0.271697,1,0.375515,3115.48,4029.4
ENSG00000008277,ADAM22,0,1,-0.208108,937.284,808.227
ENSG00000008282,SYPL1,-0.181496,1,-0.236732,13899.4,11759.4
ENSG00000008283,CYB561,0.144778,1,0.241363,3782.87,4457.97
ENSG00000008294,SPAG9,0,1,-0.0390416,9303.9,9027.49
ENSG00000008300,CELSR3,0.0348324,1,0.176346,1808.56,2037.2
ENSG00000008311,AASS,0.0359882,1,0.160728,2341.01,2608.64
ENSG00000008323,PLEKHG6,0,1,0.0708701,1123.57,1176.14
ENSG00000008324,SS18L2,0,1,-0.00919067,1075.16,1064.59
ENSG00000008382,MPND,0,1,0.0370045,438.572,448.145
ENSG00000008394,MGST1,-0.31604,1,-0.37524,12833,9863.11
ENSG00000008405,CRY1,0,1,-0.0869768,1908.3,1790.63
ENSG00000008438,#N/A,0,1,0.420333,4.40039,5.8709
ENSG00000008441,NFIX,0.206638,1,0.468647,472.309,651.67
ENSG00000008513,ST3GAL1,-0.383478,1,-0.501207,3410.3,2401.2
ENSG00000008516,MMP25,0,1,-0.24018,70.4063,58.709
ENSG00000008517,IL32,1.18984,1,1.42775,425.371,1142.87
ENSG00000008710,PKD1,0.359727,1,0.491427,1856.97,2602.77
ENSG00000008735,MAPK8IP2,0.665177,1,1.30786,57.2051,142.859
ENSG00000008838,MED24,0.370843,1,0.498,1987.51,2798.46
ENSG00000008853,RHOBTB2,0,1,-0.020315,6000.67,5898.3
ENSG00000008869,HEATR5B,-0.0884722,1,-0.216544,2550.76,2187.89
ENSG00000008952,SEC62,-0.0277669,1,-0.10067,7537.87,7007.9
ENSG00000008988,RPS20,0.0309233,1,0.0734166,20819.7,21839.8
ENSG00000009307,CSDE1,0,1,-0.00196519,38858.4,38687.3
ENSG00000009335,UBE3C,-0.0258201,1,-0.0965474,7996.98,7456.05
ENSG00000009413,REV3L,0,1,-0.0324661,3102.28,3023.51
ENSG00000009694,TENM1,0,1,-0.252092,297.76,248.535
ENSG00000009724,MASP2,0,1,-0.0165307,161.348,158.514
ENSG00000009765,#N/A,0,1,-0.66713,23.4688,13.6988
ENSG00000009780,FAM76A,0,1,0.270371,459.108,551.865
ENSG00000009790,#N/A,0,1,0.545864,30.8027,45.0102
ENSG00000009830,POMT2,0,1,0.0130978,1531.34,1540.13
ENSG00000009844,VTA1,-0.0363478,1,-0.122202,5478.49,5017.66
ENSG00000009950,#N/A,0,1,-0.875123,38.1367,19.5697
ENSG00000009954,BAZ1B,0.0929558,1,0.145831,13078,14424.8
ENSG00000010017,RANBP9,0.029103,1,0.125384,3980.89,4328.81
ENSG00000010030,ETV7,0.148188,1,0.348568,844.875,1072.42
ENSG00000010072,SPRTN,0,1,-0.0847058,1389.06,1305.3
ENSG00000010165,EEF1AKNMT,0.0321323,1,0.149195,2669.57,2951.11
ENSG00000010219,DYRK4,0,1,0.136237,302.16,330.727
ENSG00000010244,ZNF207,0,1,-0.00232829,19757.8,19665.6
ENSG00000010256,UQCRC1,0,1,-0.0654165,5242.33,4994.18
ENSG00000010270,STARD3NL,0,1,-0.0692854,3133.08,2976.55
ENSG00000010278,CD9,-0.176104,1,-0.229409,14880.7,12653.8
ENSG00000010282,#N/A,0,1,0.420333,0,0
ENSG00000010292,NCAPD2,0.0288794,1,0.0825199,13025.2,13749.7
ENSG00000010295,#N/A,0,1,-0.0650937,8.80078,7.82787
ENSG00000010310,GIPR,-0.245503,1,-0.786118,174.549,99.8053
ENSG00000010318,PHF7,9.48E-05,1,0.50006,127.611,180.041
ENSG00000010319,#N/A,0,1,-0.247092,38.1367,31.3115
ENSG00000010322,NISCH,0,1,-0.0465516,2062.32,1990.24
ENSG00000010327,#N/A,0,1,2.42033,0,5.8709
ENSG00000010361,FUZ,0,1,0.0901119,830.207,880.635
ENSG00000010379,#N/A,0,1,0.642726,7.33399,11.7418
ENSG00000010404,IDS,0.0886291,1,0.174392,4921.11,5536.26
ENSG00000010539,ZNF200,0,1,0.0365256,959.285,980.441
ENSG00000010610,#N/A,0,1,-0.579667,10.2676,5.8709
ENSG00000010626,LRRC23,0,1,0.156027,331.496,367.91
ENSG00000010671,#N/A,0,1,-1.16463,2.93359,0
ENSG00000010704,HFE,0,1,0.113626,1208.64,1303.34
ENSG00000010803,SCMH1,0,1,0.016657,1915.64,1931.53
ENSG00000010810,FYN,0.0891089,1,0.185451,3884.08,4403.18
ENSG00000010818,HIVEP2,-0.064058,1,-0.182278,2954.13,2594.94
ENSG00000010932,#N/A,0,1,-1.16463,2.93359,0
ENSG00000011007,ELOA,0,1,-0.0556656,5233.53,5019.62
ENSG00000011009,LYPLA2,0.0532683,1,0.167991,2759.05,3090.05
ENSG00000011021,CLCN6,-0.0994133,1,-0.305572,1015.02,818.012
ENSG00000011028,MRC2,0,1,0.502795,48.4043,68.4939
ENSG00000011052,NME1-NME2,0.295465,1,0.397165,3221.09,4229.01
ENSG00000011083,#N/A,0,1,0.420333,0,0
ENSG00000011105,TSPAN9,0.083917,1,0.308192,684.994,845.41
ENSG00000011114,BTBD7,-0.030445,1,-0.114988,5633.97,5185.96
ENSG00000011132,APBA3,0,1,0.0571673,506.045,524.467
ENSG00000011143,MKS1,0,1,0.0369076,947.551,968.699
ENSG00000011198,ABHD5,0,1,-0.079427,2698.91,2546.01
ENSG00000011201,ANOS1,0.746048,1,1.04794,291.893,602.746
ENSG00000011243,AKAP8L,0,1,0.0497876,1746.96,1802.37
ENSG00000011258,MBTD1,0,1,-0.0793623,1757.22,1657.55
ENSG00000011260,UTP18,0,1,0.10962,2723.84,2929.58
ENSG00000011275,RNF216,0,1,0.0810446,3708.06,3910.02
ENSG00000011295,TTC19,0,1,-0.0659522,2464.22,2346.4
ENSG00000011304,PTBP1,0,1,0.0248718,18823.4,19092.2
ENSG00000011332,DPF1,0,1,0.0770314,621.922,653.627
ENSG00000011347,SYT7,0,1,0.0118683,105.609,105.676
ENSG00000011376,LARS2,0,1,-0.0359473,2514.09,2444.25
ENSG00000011405,PIK3C2A,0,1,-0.0333219,2923.33,2847.39
ENSG00000011422,PLAUR,0.51038,1,0.7561,485.51,818.012
ENSG00000011426,ANLN,0.216159,1,0.261948,16687.8,19949.3
ENSG00000011451,WIZ,0.264292,1,0.389328,2137.12,2790.64
ENSG00000011454,#N/A,0,1,0.00529566,22.002,21.5266
ENSG00000011465,#N/A,0,1,0.420333,0,0
ENSG00000011478,QPCTL,-0.152767,1,-0.409742,679.127,508.811
ENSG00000011485,PPP5C,0,1,-0.0229215,9136.68,8964.87
ENSG00000011523,CEP68,0.258994,1,0.462925,781.803,1074.38
ENSG00000011566,MAP4K3,-0.315782,1,-0.405501,5645.7,4248.58
ENSG00000011590,#N/A,0,1,-0.749592,38.1367,21.5266
ENSG00000011638,TMEM159,-0.0175866,1,-0.174127,1675.08,1479.47
ENSG00000011677,GABRA3,0,1,0.0824635,132.012,138.945
ENSG00000012048,BRCA1,0,1,-0.0052527,4965.11,4931.56
ENSG00000012061,ERCC1,0,1,0.0265951,4469.33,4538.21
ENSG00000012124,#N/A,0,1,-1.57967,4.40039,0
ENSG00000012171,#N/A,0,1,0.420333,0,0
ENSG00000012174,MBTPS2,-0.29665,1,-0.454709,1846.7,1342.48
ENSG00000012211,PRICKLE3,0,1,-0.102947,938.75,870.85
ENSG00000012223,#N/A,0,1,0.420333,0,0
ENSG00000012232,EXTL3,0.430174,1,0.508633,5204.2,7381.68
ENSG00000012504,#N/A,0,1,0.420333,0,0
ENSG00000012660,ELOVL5,0.291154,1,0.386897,3647.92,4755.43
ENSG00000012779,ALOX5,-0.164714,1,-0.307401,2131.26,1716.26
ENSG00000012822,CALCOCO1,-0.258933,1,-0.399312,2289.67,1729.96
ENSG00000012963,UBR7,0,1,0.0753314,5129.39,5387.53
ENSG00000012983,MAP4K5,-0.147195,1,-0.227877,6478.84,5514.73
ENSG00000013016,EHD3,-0.18304,1,-0.430523,739.266,545.994
ENSG00000013275,PSMC4,0,1,0.024196,11752,11914
ENSG00000013288,MAN2B2,0,1,0.096833,3028.94,3229
ENSG00000013293,#N/A,0,1,-1.57967,4.40039,0
ENSG00000013297,CLDN11,0,1,-0.419202,198.018,146.773
ENSG00000013306,SLC25A39,0.096612,1,0.184047,4717.22,5342.52
ENSG00000013364,MVP,-0.211553,1,-0.297872,5826.12,4724.12
ENSG00000013374,NUB1,0.0763431,1,0.172104,3951.55,4438.4
ENSG00000013375,PGM3,0.167376,1,0.282749,2610.9,3166.37
ENSG00000013392,RWDD2A,0,1,0.200367,288.959,330.727
ENSG00000013441,CLK1,0,1,-0.0507999,3062.67,2947.19
ENSG00000013503,POLR3B,-0.709848,1,-0.902995,1510.8,804.314
ENSG00000013523,ANGEL1,0,1,-0.00681827,2162.06,2144.84
ENSG00000013561,RNF14,0.0595472,1,0.162737,3416.17,3812.17
ENSG00000013563,DNASE1L1,0,1,0.048177,662.992,682.982
ENSG00000013573,DDX11,0,1,0.0526795,2619.7,2708.44
ENSG00000013583,HEBP1,0,1,-0.0714375,1603.21,1520.56
ENSG00000013588,GPRC5A,-0.0133954,1,-0.0554047,22332,21424.9
ENSG00000013619,MAMLD1,0.0724996,1,0.870995,42.5371,78.2787
ENSG00000013810,TACC3,0.213774,1,0.273178,9875.95,11898.4
ENSG00000014123,UFL1,-0.0549014,1,-0.156168,3988.22,3567.55
ENSG00000014138,POLA2,0,1,0.0895087,2682.77,2845.43
ENSG00000014164,ZC3H3,0.161198,1,0.355347,897.68,1144.83
ENSG00000014216,CAPN1,-0.0737999,1,-0.11135,28596.7,26391.7
ENSG00000014257,#N/A,0,1,-0.971984,29.3359,13.6988
ENSG00000014641,MDH1,-0.0264728,1,-0.0892103,10138.5,9501.08
ENSG00000014824,SLC30A9,0,1,-0.057643,4247.85,4068.53
ENSG00000014914,MTMR11,0,1,-0.0151684,831.674,819.969
ENSG00000014919,COX15,0,1,-0.078516,2120.99,2001.98
ENSG00000015133,CCDC88C,-0.124703,1,-0.4904,343.231,242.664
ENSG00000015153,YAF2,0,1,0.145522,1081.03,1191.79
ENSG00000015171,ZMYND11,0,1,-0.0221628,4874.17,4784.78
ENSG00000015285,#N/A,0,1,-2.57967,10.2676,0
ENSG00000015475,BID,0,1,-0.0446185,2687.17,2596.9
ENSG00000015479,MATR3,-0.0358908,1,-0.090031,13625.1,12761.4
ENSG00000015520,#N/A,0,1,-0.257739,10.2676,7.82787
ENSG00000015532,XYLT2,0.0752341,1,0.223043,1628.15,1894.34
ENSG00000015568,RGPD5,-0.0679057,1,-0.235798,1491.73,1262.24
ENSG00000015592,#N/A,0,1,0.420333,0,0
ENSG00000015676,NUDCD3,0.0884517,1,0.170071,5441.82,6103.78
ENSG00000016082,#N/A,0,1,0.420333,0,0
ENSG00000016391,#N/A,0,1,0.867792,14.668,27.3975
ENSG00000016402,IL20RA,-0.0259074,1,-0.265186,739.266,612.531
ENSG00000016602,CLCA4,-2.6182,1,-2.87863,2467.15,332.684
ENSG00000016864,GLT8D1,0,1,-0.00156184,1751.36,1743.66
ENSG00000017260,ATP2C1,0,1,0.0545843,8186.2,8475.63
ENSG00000017427,#N/A,0,1,0.420333,0,0
ENSG00000017483,#N/A,0,1,2.74226,0,7.82787
ENSG00000017797,RALBP1,0.0112962,1,0.0835306,7184.37,7589.12
ENSG00000018189,RUFY3,0,1,0.113718,1201.31,1295.51
ENSG00000018236,CNTN1,1.2313,1,1.42524,643.924,1726.05
ENSG00000018280,#N/A,0,1,-0.71717,14.668,7.82787
ENSG00000018408,WWTR1,0.142945,1,0.258081,2646.1,3154.63
ENSG00000018510,AGPS,0,1,-0.0783384,6162.02,5818.06
ENSG00000018610,CXorf56,-0.0243131,1,-0.158576,2266.2,2023.5
ENSG00000018625,#N/A,0,1,0.420333,2.93359,3.91393
ENSG00000018699,TTC27,0,1,-0.0799612,1915.64,1806.28
ENSG00000018869,ZNF582,0.350107,1,0.919904,83.6074,158.514
ENSG00000019102,VSIG2,0,1,-0.0197847,2324.87,2285.74
ENSG00000019144,PHLDB1,0.277243,1,0.351892,6076.94,7731.98
ENSG00000019169,#N/A,0,1,-2.16463,7.33399,0
ENSG00000019186,CYP24A1,-0.144906,1,-0.309192,1606.14,1291.6
ENSG00000019485,PRDM11,0.187346,1,0.464576,422.438,581.219
ENSG00000019505,#N/A,0,1,2.74226,0,7.82787
ENSG00000019549,SNAI2,0,1,0.0569315,3634.72,3769.12
ENSG00000019582,CD74,0,1,-0.4904,67.4727,46.9672
ENSG00000019991,#N/A,0,1,0.420333,0,0
ENSG00000019995,ZRANB1,0,1,-0.137513,1969.91,1784.75
ENSG00000020129,NCDN,0,1,-0.0550662,1680.95,1612.54
ENSG00000020181,ADGRA2,0.294312,1,0.958753,60.1387,117.418
ENSG00000020256,ZFP64,0,1,0.138121,1220.38,1338.57
ENSG00000020426,MNAT1,0,1,0.0533713,1859.9,1923.7
ENSG00000020577,SAMD4A,0.186626,1,0.275892,4371.06,5275.98
ENSG00000020922,MRE11,0,1,0.0693278,4060.1,4246.62
ENSG00000021300,PLEKHB1,0,1,-0.579667,74.8067,48.9242
ENSG00000021355,#N/A,0,1,1.79884,5.86719,23.4836
ENSG00000021461,#N/A,0,1,1.42033,0,1.95697
ENSG00000021488,#N/A,0.179324,1,0.197941,19.0684,21.5266
ENSG00000021574,SPAST,-0.0152141,1,-0.152876,2150.32,1927.61
ENSG00000021645,#N/A,0,1,0.782903,8.80078,15.6557
ENSG00000021762,OSBPL5,0.283572,1,0.67272,198.018,315.072
ENSG00000021776,AQR,0,1,-0.0798472,6226.55,5872.86
ENSG00000021826,CPS1,0.939277,1,1.17438,466.442,1050.89
ENSG00000021852,#N/A,0,1,2.42033,0,5.8709
ENSG00000022267,FHL1,-0.229305,1,-0.528348,525.113,362.039
ENSG00000022277,RTF2,0,1,-0.0234987,7891.37,7739.81
ENSG00000022355,#N/A,0,1,0.420333,0,0
ENSG00000022556,NLRP2,0,1,0.0101443,19605.2,19683.2
ENSG00000022567,SLC45A4,0,1,-0.0218892,915.282,898.248
ENSG00000022840,RNF10,0.00414036,1,0.065773,9934.62,10366.1
ENSG00000022976,ZNF839,0,1,-0.13656,745.133,675.154
ENSG00000023041,ZDHHC6,-0.235849,1,-0.346311,3624.46,2841.52
