#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000286185,#N/A,-8.45888,1,-11.1923,3396.39,0
ENSG00000259040,BLOC1S5-TXNDC5,-6.99741,1,-9.73544,1235.85,0
ENSG00000122641,INHBA,-5.99279,1,-8.73799,617.923,0
ENSG00000167995,BEST1,-5.67857,1,-6.22815,3481.84,47.6328
ENSG00000283765,PARL,-5.51498,1,-8.26576,444.817,0
ENSG00000269711,#N/A,-5.27359,1,-8.02796,376.889,0
ENSG00000286192,#N/A,-5.15899,1,-7.91526,348.404,0
ENSG00000251537,#N/A,-4.97317,1,-7.73289,306.77,0
ENSG00000170961,HAS2,-4.5088,1,-5.18401,1106.56,30.7309
ENSG00000164520,RAET1E,-4.48036,1,-7.25155,219.122,0
ENSG00000284292,#N/A,-4.39773,1,-5.29378,738.44,18.4385
ENSG00000243207,PPAN-P2RY11,-4.38943,1,-7.16319,205.974,0
ENSG00000283782,#N/A,-4.37372,1,-7.14792,203.783,0
ENSG00000284862,CCDC39,-4.01681,1,-6.80279,159.959,0
ENSG00000111348,ARHGDIB,-3.94759,1,-4.56885,894.017,38.4136
ENSG00000279809,#N/A,-3.8189,1,-5.48411,192.827,3.07309
ENSG00000115252,PDE1A,-3.81157,1,-5.3747,238.843,4.60963
ENSG00000148677,ANKRD1,-3.79558,1,-4.05829,4014.31,253.53
ENSG00000138395,CDK15,-3.7848,1,-5.45132,188.445,3.07309
ENSG00000128510,CPA4,-3.78047,1,-4.08732,2960.33,182.849
ENSG00000111341,MGP,-3.54174,1,-6.34822,116.135,0
ENSG00000285839,#N/A,-3.52672,1,-5.10113,197.21,4.60963
ENSG00000099204,ABLIM1,-3.49452,1,-3.88898,1547,109.095
ENSG00000213793,ZNF888,-3.47284,1,-4.1668,545.613,30.7309
ENSG00000248596,LOC643201,-3.3938,1,-6.20805,105.178,0
ENSG00000197614,MFAP5,-3.24927,1,-3.94921,468.92,30.7309
ENSG00000119922,IFIT2,-3.18687,1,-4.01736,350.595,21.5116
ENSG00000235385,LINC02154,-3.15572,1,-4.52745,232.269,9.21926
ENSG00000137801,THBS1,-3.12895,1,-3.66734,698.998,56.8521
ENSG00000137752,CASP1,-3.11196,1,-4.54753,201.592,7.68272
ENSG00000170381,SEMA3E,-3.07072,1,-3.90561,324.3,21.5116
ENSG00000260772,#N/A,-3.04978,1,-3.78835,379.081,27.6578
ENSG00000155066,PROM2,-3.00934,1,-3.71672,398.802,30.7309
ENSG00000183454,GRIN2A,-3.0027,1,-5.84126,81.075,0
ENSG00000261115,TMEM178B,-2.99071,1,-3.71435,379.081,29.1943
ENSG00000103196,CRISPLD2,-2.98144,1,-3.53715,604.776,53.779
ENSG00000118526,TCF21,-2.85066,1,-3.19722,1343.22,153.654
ENSG00000139174,PRICKLE1,-2.8264,1,-3.09437,2156.16,265.822
ENSG00000117228,GBP1,-2.73772,1,-3.22655,663.939,73.7541
ENSG00000267952,#N/A,-2.73443,1,-5.59334,67.9277,0
ENSG00000283294,#N/A,-2.73443,1,-5.59334,67.9277,0
ENSG00000285628,#N/A,-2.73443,1,-5.59334,67.9277,0
ENSG00000117152,RGS4,-2.68445,1,-5.54753,65.7365,0
ENSG00000185985,SLITRK2,-2.68445,1,-5.54753,65.7365,0
ENSG00000157368,IL34,-2.63271,1,-5.50023,63.5453,0
ENSG00000140937,CDH11,-2.43829,1,-3.0806,341.83,41.4867
ENSG00000151388,ADAMTS12,-2.43744,1,-2.8169,898.399,133.679
ENSG00000198846,TOX,-2.42908,1,-4.1783,76.6926,3.07309
ENSG00000162407,PLPP3,-2.42788,1,-3.23379,230.078,24.5847
ENSG00000108679,LGALS3BP,-2.40547,1,-2.61413,2754.36,474.792
ENSG00000228695,CES1P1,-2.38441,1,-4.13766,74.5014,3.07309
ENSG00000143882,ATP6V1C2,-2.35159,1,-2.90785,422.905,58.3886
ENSG00000136235,GPNMB,-2.34206,1,-5.23719,52.5892,0
ENSG00000138411,HECW2,-2.34206,1,-5.23719,52.5892,0
ENSG00000100342,APOL1,-2.33831,1,-4.09584,72.3102,3.07309
ENSG00000167306,MYO5B,-2.3181,1,-2.6988,837.045,135.216
ENSG00000285258,#N/A,-2.28499,1,-2.57507,1373.89,242.774
ENSG00000108691,CCL2,-2.2545,1,-2.48864,2035.64,382.599
ENSG00000049249,TNFRSF9,-2.21161,1,-3.50023,162.15,13.8289
ENSG00000170667,RASA4B,-2.21126,1,-3.02943,199.401,24.5847
ENSG00000148671,#N/A,-2.20734,1,-4.1169,48.2068,1.53654
ENSG00000158104,#N/A,-2.20734,1,-5.1169,48.2068,0
ENSG00000162591,MEGF6,-2.20134,1,-2.65595,565.334,93.7291
ENSG00000274012,RN7SL2,-2.18444,1,-2.52126,981.665,179.776
ENSG00000137393,RNF144B,-2.16419,1,-2.96257,201.592,26.1212
ENSG00000172137,CALB2,-2.15033,1,-2.57344,628.879,110.631
ENSG00000099194,SCD,-2.14414,1,-2.23114,13219.6,2977.82
ENSG00000198626,RYR2,-2.14163,1,-2.76842,304.579,46.0963
ENSG00000227234,SPANXB1,-2.10686,1,-2.38351,1369.51,276.578
ENSG00000130635,COL5A1,-2.10622,1,-2.45815,867.722,165.947
ENSG00000081923,ATP8B1,-2.10366,1,-2.19466,11852.3,2738.12
ENSG00000204969,PCDHA2,-2.09686,1,-3.54087,116.135,9.21926
ENSG00000064042,LIMCH1,-2.09656,1,-2.50141,663.939,122.923
ENSG00000078401,EDN1,-2.08418,1,-3.59334,102.987,7.68272
ENSG00000112414,ADGRG6,-2.08073,1,-2.71987,284.858,44.5598
ENSG00000185201,IFITM2,-2.08048,1,-3.0148,162.15,19.9751
ENSG00000254788,#N/A,-2.05888,1,-4.98565,43.8243,0
ENSG00000197467,COL13A1,-2.05642,1,-2.65388,317.726,52.2425
ENSG00000115525,ST3GAL5,-2.006,1,-2.37392,758.161,153.654
ENSG00000145632,PLK2,-2.00075,1,-2.07433,17093.7,4293.1
ENSG00000129521,#N/A,-1.97856,1,-3.91526,41.6331,1.53654
ENSG00000187908,#N/A,-1.97856,1,-4.91526,41.6331,0
ENSG00000205755,CRLF2,-1.96694,1,-3.76326,56.9716,3.07309
ENSG00000114698,PLSCR4,-1.96385,1,-2.7548,184.062,27.6578
ENSG00000257594,GALNT4,-1.96281,1,-2.41646,501.789,98.3388
ENSG00000167774,#N/A,-1.94875,1,-3.63773,70.1189,4.60963
ENSG00000111077,TNS2,-1.94636,1,-2.30954,753.779,159.8
ENSG00000106560,GIMAP2,-1.94514,1,-3.1339,138.047,15.3654
ENSG00000196581,AJAP1,-1.94188,1,-3.40069,105.178,9.21926
ENSG00000182179,UBA7,-1.90788,1,-3.43464,92.0311,7.68272
ENSG00000257335,#N/A,-1.89358,1,-4.84126,39.4419,0
ENSG00000284922,#N/A,-1.89358,1,-4.84126,39.4419,0
ENSG00000180777,ANKRD30B,-1.87978,1,-2.37761,405.375,81.4368
ENSG00000107984,DKK1,-1.87884,1,-2.03202,3817.1,986.461
ENSG00000264301,LINC01444,-1.87171,1,-2.19999,878.678,201.287
ENSG00000150471,ADGRL3,-1.85521,1,-2.49712,251.99,46.0963
ENSG00000180573,H2AC6,-1.85032,1,-2.0833,1671.9,416.403
ENSG00000198848,CES1,-1.84697,1,-3.54753,65.7365,4.60963
ENSG00000175197,DDIT3,-1.84422,1,-1.96556,5914.09,1601.08
ENSG00000140835,CHST4,-1.84009,1,-2.33554,400.993,82.9733
ENSG00000248905,FMN1,-1.83978,1,-1.99741,3541.01,937.291
ENSG00000177409,SAMD9L,-1.83718,1,-2.23786,593.82,132.143
ENSG00000197142,ACSL5,-1.82995,1,-3.44133,76.6926,6.14617
ENSG00000138772,ANXA3,-1.81017,1,-2.65562,153.385,24.5847
ENSG00000137707,#N/A,-1.80337,1,-4.76326,37.2507,0
ENSG00000163694,#N/A,-1.80337,1,-4.76326,37.2507,0
ENSG00000164125,#N/A,-1.80337,1,-4.76326,37.2507,0
ENSG00000266651,#N/A,-1.80337,1,-4.76326,37.2507,0
ENSG00000047617,ANO2,-1.79853,1,-2.46328,230.078,43.0232
ENSG00000130518,IQCN,-1.78404,1,-3.40069,74.5014,6.14617
ENSG00000081051,AFP,-1.77784,1,-2.79979,129.282,18.4385
ENSG00000198910,L1CAM,-1.77634,1,-1.94745,2927.47,802.076
ENSG00000164418,GRIK2,-1.77474,1,-2.2363,442.626,98.3388
ENSG00000132561,MATN2,-1.77335,1,-2.13766,688.042,164.41
ENSG00000257732,#N/A,-1.76986,1,-2.57423,162.15,27.6578
ENSG00000203797,DDO,-1.76847,1,-3.24541,94.2223,9.21926
ENSG00000134215,VAV3,-1.76048,1,-2.47304,199.401,36.877
ENSG00000169122,FAM110B,-1.74628,1,-2.44749,203.783,38.4136
ENSG00000221869,CEBPD,-1.73758,1,-3.45132,61.3541,4.60963
ENSG00000185483,ROR1,-1.72824,1,-1.93742,1939.23,534.717
ENSG00000135636,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000142623,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000156218,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000166341,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000196220,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000256206,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000257207,#N/A,-1.70725,1,-4.6808,35.0595,0
ENSG00000258377,#N/A,-1.6929,1,-3.1783,89.8399,9.21926
ENSG00000173432,SAA1,-1.67966,1,-3.40069,59.1629,4.60963
ENSG00000183336,BOLA2,-1.67862,1,-2.14792,409.758,96.8022
ENSG00000169306,IL1RAPL1,-1.6562,1,-2.1783,333.065,76.8272
ENSG00000131503,ANKHD1,-1.65425,1,-1.77832,5169.08,1593.4
ENSG00000142871,CCN1,-1.64564,1,-1.67685,78730.4,26050.6
ENSG00000276168,RN7SL1,-1.63984,1,-2.0575,499.597,125.997
ENSG00000230615,#N/A,-1.62936,1,-2.07038,449.2,112.168
ENSG00000102048,#N/A,-1.62861,1,-3.4678,46.0156,3.07309
ENSG00000132915,#N/A,-1.60438,1,-4.59334,32.8683,0
ENSG00000136160,#N/A,-1.60438,1,-4.59334,32.8683,0
ENSG00000184564,#N/A,-1.60438,1,-4.59334,32.8683,0
ENSG00000232586,#N/A,-1.60438,1,-4.59334,32.8683,0
ENSG00000126709,IFI6,-1.59595,1,-2.25385,212.548,46.0963
ENSG00000185630,PBX1,-1.58459,1,-2.13586,291.432,69.1444
ENSG00000171872,KLF17,-1.58292,1,-2.47598,127.091,23.0481
ENSG00000248698,LINC01085,-1.57725,1,-3.0196,92.0311,10.7558
ENSG00000203805,PLPP4,-1.57209,1,-2.28521,181.871,38.4136
ENSG00000196569,LAMA2,-1.56407,1,-2.2241,208.166,46.0963
ENSG00000224099,#N/A,-1.55861,1,-2.0304,383.463,98.3388
ENSG00000162645,GBP2,-1.54642,1,-2.11118,273.902,66.0714
ENSG00000176244,ACBD7,-1.53855,1,-1.99543,403.184,106.021
ENSG00000119917,IFIT3,-1.53843,1,-2.07666,298.006,73.7541
ENSG00000198673,TAFA2,-1.53356,1,-2.3375,144.62,29.1943
ENSG00000169429,CXCL8,-1.52009,1,-1.76891,1259.95,390.282
ENSG00000085117,CD82,-1.50482,1,-1.73611,1439.63,456.353
ENSG00000090402,#N/A,-1.49379,1,-4.50023,30.677,0
ENSG00000124575,#N/A,-1.49379,1,-3.50023,30.677,1.53654
ENSG00000135114,#N/A,-1.49379,1,-4.50023,30.677,0
ENSG00000188223,#N/A,-1.49379,1,-4.50023,30.677,0
ENSG00000248690,#N/A,-1.49379,1,-4.50023,30.677,0
ENSG00000249945,#N/A,-1.49379,1,-4.50023,30.677,0
ENSG00000276612,#N/A,-1.49379,1,-4.50023,30.677,0
ENSG00000156675,RAB11FIP1,-1.49046,1,-1.77567,957.562,295.016
ENSG00000075213,SEMA3A,-1.48887,1,-1.68003,2064.13,680.689
ENSG00000168916,ZNF608,-1.48497,1,-2.99543,78.8838,9.21926
ENSG00000259828,#N/A,-1.48149,1,-2.02302,287.049,73.7541
ENSG00000175155,YPEL2,-1.47214,1,-1.79128,766.926,233.555
ENSG00000109705,#N/A,-1.46795,1,-3.3303,41.6331,3.07309
ENSG00000285722,#N/A,-1.46795,1,-3.3303,41.6331,3.07309
ENSG00000105808,RASA4,-1.46793,1,-2.05596,245.416,61.4617
ENSG00000179542,SLITRK4,-1.45788,1,-2.21952,153.385,33.8039
ENSG00000006534,ALDH3B1,-1.44364,1,-1.59053,3374.47,1184.67
ENSG00000143502,SUSD4,-1.44313,1,-2.38688,111.752,21.5116
ENSG00000204540,PSORS1C1,-1.44309,1,-2.00837,260.755,67.6079
ENSG00000227036,LINC00511,-1.44057,1,-2.84968,92.0311,12.2923
ENSG00000065618,COL17A1,-1.44024,1,-1.79396,622.306,188.995
ENSG00000139410,SDSL,-1.43607,1,-2.31323,120.517,24.5847
ENSG00000182985,CADM1,-1.42605,1,-1.91526,337.447,93.7291
ENSG00000074527,NTN4,-1.42563,1,-1.84388,451.391,132.143
ENSG00000171451,DSEL,-1.42499,1,-1.91068,341.83,95.2657
ENSG00000205293,LINC01602,-1.4197,1,-2.2523,129.282,27.6578
ENSG00000229807,XIST,-1.4197,1,-2.2523,129.282,27.6578
ENSG00000041982,TNC,-1.41963,1,-1.55457,3939.81,1418.23
ENSG00000164796,CSMD3,-1.41896,1,-1.76326,648.6,201.287
ENSG00000198768,APCDD1L,-1.41663,1,-2.87874,83.2662,10.7558
ENSG00000224897,POT1-AS1,-1.41663,1,-2.87874,83.2662,10.7558
ENSG00000137965,IFI44,-1.41576,1,-1.86436,394.419,113.704
ENSG00000087128,TMPRSS11E,-1.41482,1,-3.07876,59.1629,6.14617
ENSG00000184584,STING1,-1.41132,1,-2.08208,188.445,46.0963
ENSG00000076641,PAG1,-1.41063,1,-1.87713,365.933,104.485
ENSG00000137628,DDX60,-1.41032,1,-1.68559,988.239,324.211
ENSG00000153029,MR1,-1.4039,1,-2.05674,197.21,49.1694
ENSG00000141753,IGFBP4,-1.40354,1,-1.56022,2923.08,1047.92
ENSG00000120156,#N/A,-1.38052,1,-3.2563,39.4419,3.07309
ENSG00000149212,#N/A,-1.38052,1,-3.2563,39.4419,3.07309
ENSG00000163683,SMIM14,-1.37974,1,-1.65118,1001.39,336.503
ENSG00000165617,#N/A,-1.37423,1,-4.40069,28.4858,0
ENSG00000204961,#N/A,-1.37423,1,-4.40069,28.4858,0
ENSG00000274641,#N/A,-1.37423,1,-4.40069,28.4858,0
ENSG00000163131,CTSS,-1.37062,1,-2.96257,65.7365,7.68272
ENSG00000272398,CD24,-1.36064,1,-1.58664,1411.14,496.303
ENSG00000179046,TRIML2,-1.3571,1,-1.74328,508.362,159.8
ENSG00000105974,CAV1,-1.35144,1,-1.3922,40555,16345.7
ENSG00000266554,LINC01443,-1.34964,1,-1.99773,195.018,50.7059
ENSG00000008517,IL32,-1.34932,1,-1.61494,1029.87,354.941
ENSG00000168016,TRANK1,-1.34921,1,-2.06727,162.15,39.9501
ENSG00000138771,SHROOM3,-1.34445,1,-2.87344,72.3102,9.21926
ENSG00000137767,SQOR,-1.3386,1,-1.48189,3381.05,1279.94
ENSG00000162981,LRATD1,-1.33794,1,-2.01418,179.68,46.0963
ENSG00000120708,TGFBI,-1.33742,1,-1.38386,31126.2,12618.1
ENSG00000168528,SERINC2,-1.3343,1,-1.83619,308.962,90.656
ENSG00000258653,PTGR2,-1.32239,1,-1.88424,249.799,70.681
ENSG00000055813,CCDC85A,-1.31835,1,-2.23719,107.37,23.0481
ENSG00000198453,ZNF568,-1.31742,1,-2.69767,92.0311,13.8289
ENSG00000260765,#N/A,-1.31557,1,-2.91526,63.5453,7.68272
ENSG00000000971,CFH,-1.31553,1,-1.51204,1812.14,671.469
ENSG00000141668,CBLN2,-1.31109,1,-1.93037,208.166,56.8521
ENSG00000185745,IFIT1,-1.30947,1,-1.85165,265.137,76.8272
ENSG00000249196,TMEM132D-AS1,-1.30911,1,-1.86127,256.372,73.7541
ENSG00000179094,PER1,-1.2955,1,-1.67616,508.362,167.483
ENSG00000260643,#N/A,-1.29447,1,-2.83038,70.1189,9.21926
ENSG00000196155,PLEKHG4,-1.29042,1,-1.51161,1426.48,528.571
ENSG00000138356,AOX1,-1.28979,1,-1.38042,8127.22,3302.03
ENSG00000135480,KRT7,-1.27927,1,-1.87344,221.313,62.9983
ENSG00000122870,BICC1,-1.27567,1,-1.52321,1141.62,419.476
ENSG00000121236,TRIM6,-1.27109,1,-1.81573,258.564,76.8272
ENSG00000163545,NUAK2,-1.26824,1,-1.46232,1818.71,697.591
ENSG00000269968,#N/A,-1.2669,1,-1.83796,236.651,69.1444
ENSG00000104213,PDGFRL,-1.2614,1,-1.79264,269.52,81.4368
ENSG00000117226,GBP3,-1.25925,1,-1.75808,302.388,93.7291
ENSG00000176171,BNIP3,-1.25888,1,-1.34244,9411.28,3925.87
ENSG00000258017,LOC105369760,-1.2588,1,-1.36342,6047.76,2486.13
ENSG00000027697,IFNGR1,-1.2575,1,-1.38319,4218.09,1710.17
ENSG00000116717,GADD45A,-1.25694,1,-1.34922,7735,3211.38
ENSG00000064692,SNCAIP,-1.25415,1,-1.76878,284.858,87.583
ENSG00000116299,ELAPOR1,-1.25406,1,-2.12385,111.752,26.1212
ENSG00000223638,RFPL4A,-1.25217,1,-2.1003,116.135,27.6578
ENSG00000144642,RBMS3,-1.24522,1,-1.70581,348.404,112.168
ENSG00000164342,TLR3,-1.24469,1,-2.21001,98.6048,21.5116
ENSG00000167981,ZNF597,-1.24469,1,-2.21001,98.6048,21.5116
ENSG00000145819,ARHGAP26,-1.24417,1,-1.59334,585.055,204.36
ENSG00000091583,#N/A,-1.24415,1,-4.29378,26.2946,0
ENSG00000153253,#N/A,-1.24415,1,-4.29378,26.2946,0
ENSG00000183508,#N/A,-1.24415,1,-4.29378,26.2946,0
ENSG00000237515,#N/A,-1.24415,1,-4.29378,26.2946,0
ENSG00000283440,#N/A,-1.24415,1,-4.29378,26.2946,0
ENSG00000147481,SNTG1,-1.24103,1,-1.91526,173.106,47.6328
ENSG00000180730,SHISA2,-1.23603,1,-1.5433,742.823,268.895
ENSG00000173599,PC,-1.23168,1,-1.43627,1617.12,631.519
ENSG00000157873,TNFRSF14,-1.22797,1,-2.24541,94.2223,19.9751
ENSG00000113140,SPARC,-1.22765,1,-1.30232,11595.9,4973.79
ENSG00000117394,SLC2A1,-1.21906,1,-1.32439,5868.08,2478.44
ENSG00000135899,SP110,-1.21862,1,-1.64064,405.375,136.752
ENSG00000251079,#N/A,-1.21439,1,-1.71596,293.623,93.7291
ENSG00000142619,PADI3,-1.21425,1,-1.66549,357.168,118.314
ENSG00000035687,ADSS2,-1.21092,1,-1.32447,5046.37,2131.19
ENSG00000257949,TEN1,-1.20683,1,-1.75088,251.99,78.3637
ENSG00000054392,HHAT,-1.20433,1,-1.72623,271.711,86.0464
ENSG00000162616,DNAJB4,-1.20102,1,-1.29351,7520.26,3245.18
ENSG00000134548,SPX,-1.19572,1,-2.36593,87.6487,16.902
ENSG00000158769,F11R,-1.19572,1,-2.36593,87.6487,16.902
ENSG00000233381,#N/A,-1.19177,1,-2.04585,111.752,27.6578
ENSG00000165806,CASP7,-1.19074,1,-1.4488,1016.72,393.355
ENSG00000119938,PPP1R3C,-1.18918,1,-1.56244,503.98,179.776
ENSG00000232022,#N/A,-1.18847,1,-3.09584,35.0595,3.07309
ENSG00000257433,#N/A,-1.18847,1,-3.09584,35.0595,3.07309
ENSG00000185697,MYBL1,-1.18435,1,-1.27194,8313.48,3641.61
ENSG00000261270,#N/A,-1.18306,1,-1.85272,170.915,49.1694
ENSG00000167644,C19orf33,-1.16954,1,-1.68955,269.52,87.583
ENSG00000066056,TIE1,-1.15713,1,-1.49955,585.055,218.189
ENSG00000111057,KRT18,-1.15454,1,-1.21247,18579.3,8481.72
ENSG00000084636,COL16A1,-1.15312,1,-2.85637,50.398,6.14617
ENSG00000242498,ARPIN,-1.15312,1,-2.85637,50.398,6.14617
ENSG00000169083,AR,-1.15268,1,-1.42227,920.311,362.624
ENSG00000271092,TLCD4-RWDD3,-1.15185,1,-1.79845,179.68,53.779
ENSG00000156463,SH3RF2,-1.15143,1,-1.30928,2585.64,1103.24
ENSG00000269893,SNHG8,-1.14548,1,-1.29244,2964.72,1279.94
ENSG00000172086,KRCC1,-1.14489,1,-1.50623,525.892,195.141
ENSG00000160255,ITGB2,-1.14443,1,-1.33823,1731.06,723.712
ENSG00000143248,RGS5,-1.14293,1,-1.90368,133.664,36.877
ENSG00000262664,OVCA2,-1.13905,1,-1.60292,328.683,113.704
ENSG00000204131,NHSL2,-1.13715,1,-2.63773,70.1189,10.7558
ENSG00000150687,PRSS23,-1.13383,1,-1.2123,10110.3,4615.78
ENSG00000111801,BTN3A3,-1.12611,1,-1.71887,208.166,66.0714
ENSG00000053254,FOXN3,-1.12458,1,-1.25116,3935.43,1748.59
ENSG00000126860,EVI2A,-1.12284,1,-1.26726,3039.22,1335.26
ENSG00000006756,ARSD,-1.11884,1,-1.44331,637.644,247.383
ENSG00000205413,SAMD9,-1.11748,1,-1.35171,1187.64,491.694
ENSG00000240891,PLCXD2,-1.11349,1,-1.29732,1893.21,814.368
ENSG00000108448,TRIM16L,-1.11144,1,-1.31908,1494.41,633.056
ENSG00000213648,#N/A,-1.10976,1,-2.91526,41.6331,4.60963
ENSG00000187837,H1-2,-1.10899,1,-1.41646,703.381,278.114
ENSG00000100345,MYH9,-1.10221,1,-1.13351,61739.7,29772.1
ENSG00000105479,#N/A,-1.10158,1,-4.1783,24.1034,0
ENSG00000166448,#N/A,-1.10158,1,-4.1783,24.1034,0
ENSG00000188316,#N/A,-1.10158,1,-4.1783,24.1034,0
ENSG00000198835,#N/A,-1.10158,1,-4.1783,24.1034,0
ENSG00000204904,#N/A,-1.10158,1,-4.1783,24.1034,0
ENSG00000226855,#N/A,-1.10158,1,-3.1783,24.1034,1.53654
ENSG00000228887,#N/A,-1.10158,1,-3.1783,24.1034,1.53654
ENSG00000257927,#N/A,-1.10158,1,-3.1783,24.1034,1.53654
ENSG00000272647,#N/A,-1.10158,1,-4.1783,24.1034,0
ENSG00000129422,MTUS1,-1.09766,1,-1.48155,460.156,173.629
ENSG00000058085,LAMC2,-1.09569,1,-2.07876,89.8399,21.5116
ENSG00000185650,ZFP36L1,-1.09496,1,-1.14371,25512.3,12215.5
ENSG00000167767,KRT80,-1.09075,1,-1.33517,1082.46,453.28
ENSG00000282988,#N/A,-1.08423,1,-1.99773,96.4136,24.5847
ENSG00000198774,#N/A,-1.08223,1,-3.00837,32.8683,3.07309
ENSG00000170775,#N/A,-1.07977,1,-2.79497,48.2068,6.14617
ENSG00000185432,#N/A,-1.07977,1,-2.79497,48.2068,6.14617
ENSG00000125730,C3,-1.07917,1,-1.58202,276.093,96.8022
ENSG00000125354,SEPTIN6,-1.07761,1,-1.29207,1384.85,597.715
ENSG00000066827,ZFAT,-1.07328,1,-1.35808,801.985,330.357
ENSG00000157680,DGKI,-1.06689,1,-1.67675,192.827,62.9983
ENSG00000116678,LEPR,-1.06563,1,-1.28596,1308.16,566.984
ENSG00000161714,PLCD3,-1.06478,1,-1.27727,1402.38,611.544
ENSG00000144959,NCEH1,-1.06476,1,-1.12365,17336.9,8417.18
ENSG00000019549,SNAI2,-1.05755,1,-1.62191,221.313,75.2906
ENSG00000166192,SENP8,-1.05725,1,-1.60688,232.269,79.9002
ENSG00000173281,PPP1R3B,-1.05719,1,-1.1639,5350.95,2526.08
ENSG00000141574,SECTM1,-1.0564,1,-1.94697,98.6048,26.1212
ENSG00000256043,CTSO,-1.05257,1,-1.62248,216.93,73.7541
ENSG00000251350,LINC02475,-1.04818,1,-2.51087,72.3102,12.2923
ENSG00000154646,TMPRSS15,-1.04442,1,-1.19938,2565.92,1181.6
ENSG00000107864,CPEB3,-1.04272,1,-1.48131,350.595,132.143
ENSG00000163235,TGFA,-1.04261,1,-1.6417,197.21,66.0714
ENSG00000196544,BORCS6,-1.04261,1,-1.6417,197.21,66.0714
ENSG00000184500,PROS1,-1.03986,1,-1.3717,591.629,241.237
ENSG00000165124,SVEP1,-1.03952,1,-1.3491,674.895,279.651
ENSG00000103381,CPPED1,-1.03803,1,-1.3569,637.644,262.749
ENSG00000174938,SEZ6L2,-1.03716,1,-1.47375,352.786,133.679
ENSG00000243449,C4orf48,-1.03696,1,-1.71887,155.576,49.1694
ENSG00000178878,APOLD1,-1.0366,1,-1.28569,1021.11,442.524
ENSG00000279765,#N/A,-1.03585,1,-1.88612,105.178,29.1943
ENSG00000167693,NXN,-1.03562,1,-1.141,5436.41,2607.51
ENSG00000135677,GNS,-1.0328,1,-1.11147,9656.69,4727.94
ENSG00000061455,PRDM6,-1.03189,1,-2.14082,81.075,18.4385
ENSG00000147485,PXDNL,-1.03115,1,-1.36045,598.202,245.847
ENSG00000082126,MPP4,-1.02893,1,-1.9,100.796,27.6578
ENSG00000155324,GRAMD2B,-1.02893,1,-1.9,100.796,27.6578
ENSG00000139793,MBNL2,-1.02808,1,-1.20738,1919.51,878.903
ENSG00000178502,KLHL11,-1.02635,1,-1.24507,1305.97,582.35
ENSG00000105971,CAV2,-1.02075,1,-1.10091,9262.27,4568.14
ENSG00000164463,CREBRF,-1.01993,1,-1.15243,3448.98,1641.03
ENSG00000167578,RAB4B,-1.01971,1,-1.40606,440.435,175.166
ENSG00000113742,CPEB4,-1.01888,1,-1.19721,1932.65,891.195
ENSG00000149798,CDC42EP2,-1.01861,1,-1.42,409.758,161.337
ENSG00000184785,SMIM10,-1.01823,1,-1.29618,821.706,353.405
ENSG00000007944,MYLIP,-1.01755,1,-1.30023,795.412,341.113
ENSG00000170385,SLC30A1,-1.01742,1,-1.16342,2850.77,1346.01
ENSG00000227706,#N/A,-1.01683,1,-1.57912,219.122,76.8272
ENSG00000164442,CITED2,-1.0162,1,-1.13801,4060.33,1951.41
ENSG00000107738,VSIR,-1.01554,1,-2.59334,59.1629,9.21926
ENSG00000166897,ELFN2,-1.01536,1,-1.49887,289.241,107.558
ENSG00000138814,PPP3CA,-1.01437,1,-1.2032,1726.68,792.856
ENSG00000197363,ZNF517,-1.00876,1,-1.46946,315.535,119.85
ENSG00000120129,DUSP1,-1.00614,1,-1.10509,6080.63,2990.11
ENSG00000158828,PINK1,-1.00179,1,-1.23702,1124.09,503.986
ENSG00000102144,PGK1,-1.0005,1,-1.04244,33107.1,17004.9
ENSG00000178538,CA8,-0.994016,1,-1.79769,113.943,33.8039
ENSG00000147100,SLC16A2,-0.993182,1,-1.21349,1270.91,579.277
ENSG00000184371,CSF1,-0.992741,1,-1.1953,1494.41,689.908
ENSG00000118523,CCN2,-0.987681,1,-1.03292,28354.3,14660.2
ENSG00000125726,CD70,-0.987081,1,-1.3363,525.892,219.726
ENSG00000155629,PIK3AP1,-0.98413,1,-1.88284,94.2223,26.1212
ENSG00000073905,#N/A,-0.974702,1,-1.46405,278.285,106.021
ENSG00000111424,VDR,-0.974619,1,-1.21392,1075.89,490.157
ENSG00000145242,EPHA5,-0.973367,1,-1.3943,368.124,147.508
ENSG00000251432,LINC02615,-0.971572,1,-1.89819,89.8399,24.5847
ENSG00000106829,TLE4,-0.969469,1,-1.31288,539.039,228.945
ENSG00000162692,VCAM1,-0.968878,1,-1.68645,138.047,44.5598
ENSG00000138166,DUSP5,-0.968671,1,-1.05385,8048.34,4101.03
ENSG00000101977,#N/A,-0.967837,1,-2.91526,30.677,3.07309
ENSG00000165474,#N/A,-0.967837,1,-2.91526,30.677,3.07309
